Postcode,Latitude,Longitude,Ward
EH1 1AA,55.95365,-3.188106,City Centre
EH1 1AD,55.948894,-3.19259,City Centre
EH1 1AE,55.949069,-3.189408,City Centre
EH1 1AF,55.960382,-3.176699,Leith Walk
EH1 1AL,55.953214,-3.186811,City Centre
EH1 1AN,55.953022,-3.188087,City Centre
EH1 1AQ,55.952206,-3.188863,City Centre
EH1 1BA,55.952032,-3.188217,City Centre
EH1 1BB,55.952059,-3.18958,City Centre
EH1 1BD,55.952326,-3.187505,City Centre
EH1 1BE,55.951961,-3.189944,City Centre
EH1 1BG,55.951961,-3.189944,City Centre
EH1 1BJ,55.950811,-3.19095,City Centre
EH1 1BL,55.95065,-3.191729,City Centre
EH1 1BN,55.950782,-3.190148,City Centre
EH1 1BP,55.950732,-3.190276,City Centre
EH1 1BQ,55.952622,-3.19131,City Centre
EH1 1BR,55.951115,-3.19011,City Centre
EH1 1BS,55.95072,-3.189137,City Centre
EH1 1BU,55.950592,-3.188493,City Centre
EH1 1BW,55.95067,-3.19157,City Centre
EH1 1BX,55.95096,-3.188906,City Centre
EH1 1BY,55.951036,-3.188987,City Centre
EH1 1DA,55.949532,-3.187531,City Centre
EH1 1DD,55.949585,-3.187102,City Centre
EH1 1DE,55.951133,-3.188751,City Centre
EH1 1DF,55.951228,-3.189987,City Centre
EH1 1DG,55.951142,-3.186364,City Centre
EH1 1DH,55.951151,-3.185451,City Centre
EH1 1DJ,55.950898,-3.184659,City Centre
EH1 1DN,55.951152,-3.186268,City Centre
EH1 1DR,55.950934,-3.184692,City Centre
EH1 1DS,55.950898,-3.184659,City Centre
EH1 1DT,55.950993,-3.184165,City Centre
EH1 1DU,55.950881,-3.18642,City Centre
EH1 1DW,55.950993,-3.184181,City Centre
EH1 1DY,55.976114,-3.183748,Leith
EH1 1DZ,55.960382,-3.176699,Leith Walk
EH1 1ED,55.945894,-3.190222,City Centre
EH1 1EE,55.947964,-3.192113,City Centre
EH1 1EG,55.94845,-3.192511,City Centre
EH1 1EH,55.947782,-3.191978,City Centre
EH1 1EJ,55.948001,-3.191536,City Centre
EH1 1EL,55.947519,-3.191217,City Centre
EH1 1EN,55.947497,-3.191713,City Centre
EH1 1EP,55.947558,-3.191875,City Centre
EH1 1ES,55.976114,-3.183748,Leith
EH1 1ET,55.949532,-3.187531,City Centre
EH1 1EU,55.946353,-3.190124,City Centre
EH1 1EW,55.948609,-3.191891,City Centre
EH1 1EX,55.946443,-3.190127,City Centre
EH1 1EY,55.946532,-3.190178,City Centre
EH1 1EZ,55.945888,-3.189838,City Centre
EH1 1HA,55.945888,-3.189838,City Centre
EH1 1HB,55.946113,-3.189334,City Centre
EH1 1HD,55.946569,-3.189122,City Centre
